,Time (min),Valve Position (% open),Temperature (degC)
572,2860,100,46.0
573,2865,100,45.9
574,2870,100,45.8
575,2875,100,45.8
576,2880,100,46.1
577,2885,100,46.0
578,2890,100,46.1
579,2895,100,45.9
580,2900,100,46.1
581,2905,100,45.9
582,2910,100,46.1
583,2915,100,45.9
584,2920,100,46.0
585,2925,100,45.9
586,2930,100,46.1
587,2935,100,46.0
588,2940,100,46.0
589,2945,100,46.1
590,2950,100,46.0
591,2955,100,46.0
592,2960,100,46.1
593,2965,100,46.1
594,2970,100,46.0
595,2975,100,45.9
596,2980,100,46.0
597,2985,100,46.1
598,2990,100,46.0
599,2995,100,46.1
600,3000,100,46.0
